"","week","yards","preds"
"457",15,44,0.634791182387115
"458",16,44,0.622551729580278
"459",17,44,0.610153998696912
"460",1,45,0.763896472309894
"461",2,45,0.754309153760031
"462",3,45,0.744462758693842
"463",4,45,0.734360721909815
"464",5,45,0.724007379260764
"465",6,45,0.713407992379055
"466",7,45,0.702568767718866
"467",8,45,0.691496869312771
"468",9,45,0.680200424685896
"469",10,45,0.668688523431375
"470",11,45,0.656971208025828
"471",12,45,0.645059456552459
"472",13,45,0.63296515710118
"473",14,45,0.620701073728423
"474",15,45,0.608280803982024
"475",16,45,0.595718728126428
"476",17,45,0.583029950337607
"477",1,46,0.742963049183895
"478",2,46,0.732823002441849
"479",3,46,0.722432379826977
"480",4,46,0.711796583684747
"481",5,46,0.700921963511739
"482",6,46,0.689815827719653
"483",7,46,0.678486448478181
"484",8,46,0.666943059150854
"485",9,46,0.655195843915013
"486",10,46,0.643255919248022
"487",11,46,0.631135307065411
"488",12,46,0.618846899411487
"489",13,46,0.606404414726899
"490",14,46,0.593822345848316
"491",15,46,0.581115900029957
"492",16,46,0.568300931412025
"493",17,46,0.555393866493854
"494",1,47,0.720851857801265
"495",2,47,0.710179795355685
"496",3,47,0.699269944232733
"497",4,47,0.688129757333175
"498",5,47,0.676767651414289
"499",6,47,0.665193003376844
"500",7,47,0.653416138682406
"501",8,47,0.641448311597803
"502",9,47,0.629301677069037
"503",10,47,0.616989254143236
"504",11,47,0.604524880982376
"505",12,47,0.59192316164397
"506",13,47,0.579199404938771
"507",14,47,0.566369555810741
"508",15,47,0.553450119816557
"509",16,47,0.540458081407499
"510",17,47,0.527410816832141
"511",1,48,0.697612736449513
"512",2,48,0.68643868797896
"513",3,48,0.675044066554242
"514",4,48,0.663438392353109
"515",5,48,0.651632131676858
"516",6,48,0.639636675948584
"517",7,48,0.627464312321014
"518",8,48,0.615128185830767
"519",9,48,0.602642253162181
"520",10,48,0.59002122821598
"521",11,48,0.577280519813198
"522",12,48,0.56443616199968
"523",13,48,0.551504737547805
"524",14,48,0.538503295376297
"525",15,48,0.525449262722878
"526",16,48,0.512360353004665
"527",17,48,0.499254470384927
"528",1,49,0.673315727439724
"529",2,49,0.661679262795073
"530",3,49,0.649843862704623
"531",4,49,0.637821055086001
"532",5,49,0.625623258446325
"533",6,49,0.613263742770196
"534",7,49,0.600756582038015
"535",8,49,0.588116598590071
"536",9,49,0.575359299687168
"537",10,49,0.562500806753115
"538",11,49,0.549557777914898
"539",12,49,0.536547324579264
"540",13,49,0.523486922896395
"541",14,49,0.510394321059299
"542",15,49,0.497287443468492
"543",16,49,0.484184292853235
"544",17,49,0.471102851481145
"545",1,50,0.648051372026852
"546",2,50,0.636001492231386
"547",3,50,0.623778561482189
"548",4,50,0.611395973642247
"549",5,50,0.598867918734562
"550",6,50,0.586209326109561
"551",7,50,0.573435799873359
"552",8,50,0.560563547082117
"553",9,50,0.547609299337329
"554",10,50,0.534590228538341
"555",11,50,0.521523857658459
"556",12,50,0.508427967506542
"557",13,50,0.495320500514222
"558",14,50,0.48221946264746
"559",15,50,0.469142824578443
"560",16,50,0.456108423268529
"561",17,50,0.443133865104783
"562",1,51,0.621930267874183
"563",2,51,0.60952492750776
"564",3,51,0.596976314724414
"565",4,51,0.584299464429746
"566",5,51,0.571510075957086
"567",6,51,0.558624440228028
"568",7,51,0.545659360419882
"569",8,51,0.532632066913673
"570",9,51,0.519560127404357
"571",10,51,0.506461353148095
"572",11,51,0.493353702396773
"573",12,51,0.48025518212551
"574",13,51,0.467183749192792
"575",14,51,0.454157212084192
"576",15,51,0.441193134379001
"577",16,51,0.428308741044857
"578",17,51,0.415520828609652
"579",1,52,0.595081821822908
"580",2,52,0.582387067512205
"581",3,52,0.569582183790127
"582",4,52,0.556683543655859
"583",5,52,0.543708019945695
"584",6,52,0.53067289949639
"585",7,52,0.517595792611487
"586",8,52,0.504494538817935
"587",9,52,0.491387109972868
"588",10,52,0.478291511832753
"589",11,52,0.465225685227732
"590",12,52,0.452207407991807
"591",13,52,0.439254198784498
"592",14,52,0.426383223902015
"593",15,52,0.413611208117107
"594",16,52,0.400954350508242
"595",17,52,0.388428246143029
"596",1,53,0.567652179484484
"597",2,53,0.554740915047646
"598",3,53,0.541755336869264
"599",4,53,0.528712786201359
"600",5,53,0.515630913831922
"601",6,53,0.502527585374794
"602",7,53,0.489420784073768
"603",8,53,0.47632851223918
"604",9,53,0.463268692462385
"605",10,53,0.450259069758038
"606",11,53,0.437317115765535
"607",12,53,0.424459936100175
"608",13,53,0.4117041818826
"609",14,53,0.399065966393861
"610",15,53,0.386560787705305
"611",16,53,0.374203458020357
"612",17,53,0.36200804034219
"613",1,54,0.539801370309413
"614",2,54,0.526751787059895
"615",3,54,0.513665551684965
"616",4,54,0.500560553694622
"617",5,54,0.487454785497754
"618",6,54,0.474366243731976
"619",7,54,0.461312830544206
"620",8,54,0.44831225597054
"621",9,54,0.435381942542079
"622",10,54,0.422538933199274
"623",11,54,0.40979980353233
